filename|transcription|normalized_transcription
wavs/line_0001|Good morning. How are you today?|Good morning. How are you today?
wavs/line_0002|I'll be back in about twenty minutes.|I'll be back in about twenty minutes.
wavs/line_0003|Could you please turn off the kitchen light?|Could you please turn off the kitchen light?
wavs/line_0004|The weather looks really good this afternoon.|The weather looks really good this afternoon.
wavs/line_0005|Let me know when you're ready to leave.|Let me know when you're ready to leave.
wavs/line_0006|I think we should head off a bit earlier to beat the traffic.|I think we should head off a bit earlier to beat the traffic.
wavs/line_0007|There's a good coffee shop just around the corner from here.|There's a good coffee shop just around the corner from here.
wavs/line_0008|I need to pick up a few things on the way home.|I need to pick up a few things on the way home.
wavs/line_0009|Have you had a chance to read that yet?|Have you had a chance to read that yet?
wavs/line_0010|Set a reminder for me at half past eight tomorrow morning.|Set a reminder for me at half past eight tomorrow morning.
wavs/line_0011|That's a great idea — let's go with that.|That's a great idea — let's go with that.
wavs/line_0012|I'm not sure exactly where I left my keys.|I'm not sure exactly where I left my keys.
wavs/line_0013|Can you play some music while I cook dinner?|Can you play some music while I cook dinner?
wavs/line_0014|It's a bit cold this evening — I might light the fire.|It's a bit cold this evening — I might light the fire.
wavs/line_0015|What time does the game start tonight?|What time does the game start tonight?
wavs/line_0016|I'll send you a message when I'm on my way.|I'll send you a message when I'm on my way.
wavs/line_0017|We should catch up properly sometime soon.|We should catch up properly sometime soon.
wavs/line_0018|That was one of the best meals I've had in a while.|That was one of the best meals I've had in a while.
wavs/line_0019|Just give me five minutes and I'll be right with you.|Just give me five minutes and I'll be right with you.
wavs/line_0020|I think it might rain later, so bring a jacket.|I think it might rain later, so bring a jacket.
wavs/line_0021|Sure, I can help with that.|Sure, I can help with that.
wavs/line_0022|I've set a timer for twenty minutes.|I've set a timer for twenty minutes.
wavs/line_0023|The current temperature is eighteen degrees.|The current temperature is eighteen degrees.
wavs/line_0024|Your next calendar event is at two o'clock this afternoon.|Your next calendar event is at two o'clock this afternoon.
wavs/line_0025|I didn't quite catch that — could you say it again?|I didn't quite catch that — could you say it again?
wavs/line_0026|Here's what I found for you.|Here's what I found for you.
wavs/line_0027|I'm not sure about that one — let me check.|I'm not sure about that one — let me check.
wavs/line_0028|Done. I've turned off the living room lights.|Done. I've turned off the living room lights.
wavs/line_0029|Your alarm is set for seven in the morning.|Your alarm is set for seven in the morning.
wavs/line_0030|The forecast shows rain tomorrow afternoon, clearing by evening.|The forecast shows rain tomorrow afternoon, clearing by evening.
wavs/line_0031|There are three unread messages in your inbox.|There are three unread messages in your inbox.
wavs/line_0032|I've added that to your shopping list.|I've added that to your shopping list.
wavs/line_0033|Playing your afternoon playlist now.|Playing your afternoon playlist now.
wavs/line_0034|The drive to the city should take about thirty-five minutes with current traffic.|The drive to the city should take about thirty-five minutes with current traffic.
wavs/line_0035|I couldn't find any results for that. Try rephrasing?|I couldn't find any results for that. Try rephrasing?
wavs/line_0036|That's been added to your reminders.|That's been added to your reminders.
wavs/line_0037|Volume set to fifty percent.|Volume set to fifty percent.
wavs/line_0038|Connecting to your home Wi-Fi network now.|Connecting to your home Wi-Fi network now.
wavs/line_0039|I've sent that message for you.|I've sent that message for you.
wavs/line_0040|Sorry, something went wrong — please try again.|Sorry, something went wrong — please try again.
wavs/line_0041|It's currently seven forty-five in the morning.|It's currently seven forty-five in the morning.
wavs/line_0042|Today is the fifteenth of March, twenty twenty-six.|Today is the fifteenth of March, twenty twenty-six.
wavs/line_0043|The total comes to one hundred and forty-two dollars and fifty cents.|The total comes to one hundred and forty-two dollars and fifty cents.
wavs/line_0044|Your flight departs at six fifteen and arrives at eight forty.|Your flight departs at six fifteen and arrives at eight forty.
wavs/line_0045|The package will be delivered between nine and eleven on Thursday.|The package will be delivered between nine and eleven on Thursday.
wavs/line_0046|Please call back on zero four, double two, three, five, seven, eight, nine one.|Please call back on zero four, double two, three, five, seven, eight, nine one.
wavs/line_0047|Set the oven to one hundred and eighty degrees for forty-five minutes.|Set the oven to one hundred and eighty degrees for forty-five minutes.
wavs/line_0048|There are three hundred and sixty-five days in a standard year.|There are three hundred and sixty-five days in a standard year.
wavs/line_0049|The speed limit on this stretch of road is one hundred kilometres per hour.|The speed limit on this stretch of road is one hundred kilometres per hour.
wavs/line_0050|It's about twelve kilometres from here — roughly a fifteen-minute drive.|It's about twelve kilometres from here — roughly a fifteen-minute drive.
wavs/line_0051|We've been living here for just over four and a half years now.|We've been living here for just over four and a half years now.
wavs/line_0052|The meeting is scheduled for the twenty-third at two thirty in the afternoon.|The meeting is scheduled for the twenty-third at two thirty in the afternoon.
wavs/line_0053|I turned forty-two last October and honestly it's not so bad.|I turned forty-two last October and honestly it's not so bad.
wavs/line_0054|The receipt shows a balance of three hundred and seven dollars remaining.|The receipt shows a balance of three hundred and seven dollars remaining.
wavs/line_0055|The next bus departs in eight minutes from platform four.|The next bus departs in eight minutes from platform four.
wavs/line_0056|Sunrise tomorrow is at six twenty-two, sunset at seven forty-nine.|Sunrise tomorrow is at six twenty-two, sunset at seven forty-nine.
wavs/line_0057|Interest rates have risen by point seven five percent this quarter.|Interest rates have risen by point seven five percent this quarter.
wavs/line_0058|We'll need about two and a half litres of water for this recipe.|We'll need about two and a half litres of water for this recipe.
wavs/line_0059|The temperature overnight will drop to around four degrees.|The temperature overnight will drop to around four degrees.
wavs/line_0060|There's roughly one hour and twenty minutes left on the battery.|There's roughly one hour and twenty minutes left on the battery.
wavs/line_0061|Hobart is a beautiful city, especially in the cooler months.|Hobart is a beautiful city, especially in the cooler months.
wavs/line_0062|The drive up to Mount Wellington is well worth it on a clear day.|The drive up to Mount Wellington is well worth it on a clear day.
wavs/line_0063|MONA is one of the most unique museums I've ever been to.|MONA is one of the most unique museums I've ever been to.
wavs/line_0064|Salamanca Market runs every Saturday morning rain or shine.|Salamanca Market runs every Saturday morning rain or shine.
wavs/line_0065|We took the ferry across to Bruny Island for the long weekend.|We took the ferry across to Bruny Island for the long weekend.
wavs/line_0066|The Huon Valley is spectacular in autumn when the leaves turn.|The Huon Valley is spectacular in autumn when the leaves turn.
wavs/line_0067|Freycinet National Park is about two and a half hours north of Hobart.|Freycinet National Park is about two and a half hours north of Hobart.
wavs/line_0068|It gets properly cold down here in winter — we're talking zero overnight.|It gets properly cold down here in winter — we're talking zero overnight.
wavs/line_0069|The Tasman Peninsula has some incredible coastal walks and sea cliffs.|The Tasman Peninsula has some incredible coastal walks and sea cliffs.
wavs/line_0070|I grabbed takeaway from one of the fish and chip shops on the waterfront.|I grabbed takeaway from one of the fish and chip shops on the waterfront.
wavs/line_0071|They reckon it might snow on the mountain again by the end of the week.|They reckon it might snow on the mountain again by the end of the week.
wavs/line_0072|Port Arthur is a fascinating and sobering place to visit.|Port Arthur is a fascinating and sobering place to visit.
wavs/line_0073|The Derwent River looks absolutely stunning on a still morning.|The Derwent River looks absolutely stunning on a still morning.
wavs/line_0074|We've been getting a lot of westerlies coming through from the Southern Ocean.|We've been getting a lot of westerlies coming through from the Southern Ocean.
wavs/line_0075|Battery Point is one of the most well-preserved historic areas in Australia.|Battery Point is one of the most well-preserved historic areas in Australia.
wavs/line_0076|The fresh bread from the bakery smells absolutely wonderful.|The fresh bread from the bakery smells absolutely wonderful.
wavs/line_0077|A peculiar purple platypus paddled past the pier.|A peculiar purple platypus paddled past the pier.
wavs/line_0078|She thought through the theory thoroughly before speaking.|She thought through the theory thoroughly before speaking.
wavs/line_0079|Whether the weather is warm or wintry, I still go for a walk each day.|Whether the weather is warm or wintry, I still go for a walk each day.
wavs/line_0080|The children cheerfully chased each other through the golden leaves.|The children cheerfully chased each other through the golden leaves.
wavs/line_0081|That enormous earthquake shook the structure right to its foundations.|That enormous earthquake shook the structure right to its foundations.
wavs/line_0082|The surgeon carefully examined the x-ray before beginning the procedure.|The surgeon carefully examined the x-ray before beginning the procedure.
wavs/line_0083|Vivid lightning lit up the valley just before the heavy rain arrived.|Vivid lightning lit up the valley just before the heavy rain arrived.
wavs/line_0084|His whispered voice was barely audible over the rushing stream.|His whispered voice was barely audible over the rushing stream.
wavs/line_0085|The jeweller's loupe revealed a tiny flaw at the edge of the gem.|The jeweller's loupe revealed a tiny flaw at the edge of the gem.
wavs/line_0086|She squinted through the fog trying to make out the distant lighthouse.|She squinted through the fog trying to make out the distant lighthouse.
wavs/line_0087|The rough waves crashed rhythmically against the weathered jetty.|The rough waves crashed rhythmically against the weathered jetty.
wavs/line_0088|Both brothers laughed when they finally figured out the puzzle together.|Both brothers laughed when they finally figured out the puzzle together.
wavs/line_0089|A gentle zephyr drifted through the open window on that warm spring afternoon.|A gentle zephyr drifted through the open window on that warm spring afternoon.
wavs/line_0090|I thoroughly enjoy the challenge of a good cryptic crossword on a Sunday.|I thoroughly enjoy the challenge of a good cryptic crossword on a Sunday.
wavs/line_0091|The machinery hummed quietly in the background of the otherwise silent factory.|The machinery hummed quietly in the background of the otherwise silent factory.
wavs/line_0092|Please measure three quarters of a cup of flour and sift it carefully.|Please measure three quarters of a cup of flour and sift it carefully.
wavs/line_0093|The ancient bridge groaned as the loaded truck slowly crossed it.|The ancient bridge groaned as the loaded truck slowly crossed it.
wavs/line_0094|Twelve grey geese flew quietly over the frozen lake at dusk.|Twelve grey geese flew quietly over the frozen lake at dusk.
wavs/line_0095|The judge's verdict brought a mixture of relief and quiet satisfaction.|The judge's verdict brought a mixture of relief and quiet satisfaction.
wavs/line_0096|Press and hold the button on the side until the light flashes blue.|Press and hold the button on the side until the light flashes blue.
wavs/line_0097|Connect the cable firmly and make sure it clicks into place.|Connect the cable firmly and make sure it clicks into place.
wavs/line_0098|Open the settings menu and scroll down to the privacy section.|Open the settings menu and scroll down to the privacy section.
wavs/line_0099|Add two tablespoons of olive oil and heat gently over medium heat.|Add two tablespoons of olive oil and heat gently over medium heat.
wavs/line_0100|Fold the mixture in carefully so you don't knock the air out.|Fold the mixture in carefully so you don't knock the air out.
wavs/line_0101|Save the file before you close the window or you'll lose your changes.|Save the file before you close the window or you'll lose your changes.
wavs/line_0102|Turn the handle anticlockwise to release the pressure before opening.|Turn the handle anticlockwise to release the pressure before opening.
wavs/line_0103|Copy the code and paste it into the terminal, then press enter.|Copy the code and paste it into the terminal, then press enter.
wavs/line_0104|Make sure the power is completely off before replacing the fuse.|Make sure the power is completely off before replacing the fuse.
wavs/line_0105|Attach the bracket to the wall using the four screws provided.|Attach the bracket to the wall using the four screws provided.
wavs/line_0106|Double check the spelling before you hit send on that email.|Double check the spelling before you hit send on that email.
wavs/line_0107|Drain the pasta and return it to the pot before adding the sauce.|Drain the pasta and return it to the pot before adding the sauce.
wavs/line_0108|Slice the vegetables into even pieces so they cook at the same rate.|Slice the vegetables into even pieces so they cook at the same rate.
wavs/line_0109|Update the firmware by going to settings and selecting system update.|Update the firmware by going to settings and selecting system update.
wavs/line_0110|Hold the phone flat and keep very still while the photo is being taken.|Hold the phone flat and keep very still while the photo is being taken.
wavs/line_0111|Oh wow, that's actually really impressive.|Oh wow, that's actually really impressive.
wavs/line_0112|Hmm, I'm not entirely sure about that one.|Hmm, I'm not entirely sure about that one.
wavs/line_0113|Yeah, that makes a lot of sense when you think about it.|Yeah, that makes a lot of sense when you think about it.
wavs/line_0114|Honestly, I was pretty surprised by how it all turned out.|Honestly, I was pretty surprised by how it all turned out.
wavs/line_0115|No, no — that's not what I meant at all, sorry.|No, no — that's not what I meant at all, sorry.
wavs/line_0116|That is genuinely one of the funniest things I've heard in ages.|That is genuinely one of the funniest things I've heard in ages.
wavs/line_0117|Well, to be fair, it's a bit more complicated than that.|Well, to be fair, it's a bit more complicated than that.
wavs/line_0118|I think we'll figure it out — we always do in the end.|I think we'll figure it out — we always do in the end.
wavs/line_0119|That was a long day. I'm absolutely exhausted.|That was a long day. I'm absolutely exhausted.
wavs/line_0120|Oh! I completely forgot about that — sorry, my fault.|Oh! I completely forgot about that — sorry, my fault.
wavs/line_0121|Right, let's get on with it then, shall we?|Right, let's get on with it then, shall we?
wavs/line_0122|I've been looking forward to this all week.|I've been looking forward to this all week.
wavs/line_0123|It's hard to explain, but something just didn't feel right.|It's hard to explain, but something just didn't feel right.
wavs/line_0124|Fair enough — I can totally see where you're coming from.|Fair enough — I can totally see where you're coming from.
wavs/line_0125|I really appreciate you taking the time to help with that.|I really appreciate you taking the time to help with that.
wavs/line_0126|Look, at the end of the day, what matters most is that we tried.|Look, at the end of the day, what matters most is that we tried.
wavs/line_0127|Ha! I was not expecting that at all.|Ha! I was not expecting that at all.
wavs/line_0128|Don't worry about it — it really is not a big deal.|Don't worry about it — it really is not a big deal.
wavs/line_0129|I have to say, I'm genuinely impressed with how that turned out.|I have to say, I'm genuinely impressed with how that turned out.
wavs/line_0130|Alright, let's call it a night. I'll pick this up tomorrow.|Alright, let's call it a night. I'll pick this up tomorrow.
wavs/line_0131|The latest software update includes several important security patches.|The latest software update includes several important security patches.
wavs/line_0132|Restart the device to apply the changes you've just made.|Restart the device to apply the changes you've just made.
wavs/line_0133|The API returned a four-oh-four error — the resource wasn't found.|The API returned a four-oh-four error — the resource wasn't found.
wavs/line_0134|Your Wi-Fi signal strength is currently showing as excellent.|Your Wi-Fi signal strength is currently showing as excellent.
wavs/line_0135|Back up your data regularly — at least once a week is recommended.|Back up your data regularly — at least once a week is recommended.
wavs/line_0136|The CPU temperature is sitting at sixty-two degrees Celsius under load.|The CPU temperature is sitting at sixty-two degrees Celsius under load.
wavs/line_0137|This function takes a string and returns a boolean value.|This function takes a string and returns a boolean value.
wavs/line_0138|The database query completed in under fifty milliseconds.|The database query completed in under fifty milliseconds.
wavs/line_0139|Enable two-factor authentication for an extra layer of account security.|Enable two-factor authentication for an extra layer of account security.
wavs/line_0140|The model was trained on approximately ten thousand audio samples.|The model was trained on approximately ten thousand audio samples.
wavs/line_0141|Compression reduced the file size from forty megabytes down to six.|Compression reduced the file size from forty megabytes down to six.
wavs/line_0142|The shell script will run automatically every morning at seven a.m.|The shell script will run automatically every morning at seven a.m.
wavs/line_0143|Check that port eight thousand and eighty is open in the firewall.|Check that port eight thousand and eighty is open in the firewall.
wavs/line_0144|The neural network has approximately three hundred million parameters.|The neural network has approximately three hundred million parameters.
wavs/line_0145|This repository was last updated three days ago by the main contributor.|This repository was last updated three days ago by the main contributor.
wavs/line_0146|It was one of those rare winter mornings where the sky was completely clear and the air had that sharp, clean bite to it.|It was one of those rare winter mornings where the sky was completely clear and the air had that sharp, clean bite to it.
wavs/line_0147|We'd been walking for about an hour before we spotted the track that led down through the bush to the beach.|We'd been walking for about an hour before we spotted the track that led down through the bush to the beach.
wavs/line_0148|I remember thinking at the time that something about the whole situation felt slightly off, but I couldn't quite put my finger on what it was.|I remember thinking at the time that something about the whole situation felt slightly off, but I couldn't quite put my finger on what it was.
wavs/line_0149|The old man had lived in that house for fifty years and knew every creak and groan of the floorboards by heart.|The old man had lived in that house for fifty years and knew every creak and groan of the floorboards by heart.
wavs/line_0150|By the time we arrived, the sun had already dropped behind the mountain and the temperature was falling quickly.|By the time we arrived, the sun had already dropped behind the mountain and the temperature was falling quickly.
wavs/line_0151|She opened the letter slowly, half dreading what she might find inside, and then burst out laughing at the unexpected contents.|She opened the letter slowly, half dreading what she might find inside, and then burst out laughing at the unexpected contents.
wavs/line_0152|There's something about the smell of eucalyptus after rain that always takes me straight back to being a kid.|There's something about the smell of eucalyptus after rain that always takes me straight back to being a kid.
wavs/line_0153|The project had taken three years longer than anyone anticipated, but standing there looking at the finished result, it felt worth every minute.|The project had taken three years longer than anyone anticipated, but standing there looking at the finished result, it felt worth every minute.
wavs/line_0154|Thank you.|Thank you.
wavs/line_0155|You're welcome.|You're welcome.
wavs/line_0156|No worries at all.|No worries at all.
wavs/line_0157|I'll look into that for you.|I'll look into that for you.
wavs/line_0158|Give me just a moment.|Give me just a moment.
wavs/line_0159|That's a really good question.|That's a really good question.
wavs/line_0160|I hope that helps.|I hope that helps.
wavs/line_0161|Let me know if there's anything else.|Let me know if there's anything else.
wavs/line_0162|Have a great evening.|Have a great evening.
wavs/line_0163|Talk to you soon.|Talk to you soon.
